datasetname,avg_supp,wkl_supp,avg_usg,wkl_usg,wacc_supp,wacc_usg,jacc_avg,n_rules,avg_items,wkl_sum,std_rules,top1_std,length_orig,length_final,length_ratio,runtime,nsamples_train, ,,,
baseball,76.2857,149.6224,39.8571,89.3607,75488.0788,40014.7054,0.1194,7,2.2857,625.5251,472.0864,10.4167,4152.2079,3732.4675,0.8989,69.8277,337, ,,,
autoMPG8,66.625,112.6108,41,76.8467,486.5093,275.7594,0.1008,8,2.125,614.7738,2.1889,1.4396,1963.784,1564.0407,0.7964,23.1998,392, ,,,
dee,86.4444,103.0647,37.3333,54.6591,77.8157,30.2418,0.1694,9,1.7778,491.932,0.3758,0.3046,728.4986,456.3912,0.6265,24.4545,365, ,,,
ele-1,137.75,145.1671,58.125,75.7004,103115.3806,43959.4245,0.1876,8,1.875,605.6032,542.6858,1429.812,6048.2207,5642.2202,0.9329,1.0012,495, ,,,
forestFires,45.0455,146.2207,21.6364,91.7824,569.0203,276.6779,0.0283,22,2.9545,2019.2135,40.9572,481.328,4155.6044,2970.2727,0.7148,117.9622,517, ,,,
concrete,119.5556,99.4626,54.7778,74.9937,1505.8985,668.6458,0.0459,18,3.1667,1349.8872,6.4147,3.5747,6291.9271,5542.557,0.8809,77.7073,1030, ,,,
treasury,109.2258,266.3122,33.6452,130.4355,272.5338,85.1107,0.0398,31,2.2581,4043.5005,0.3127,0.0229,3988.5519,1036.3631,0.2598,229.0176,1049, ,,,
wizmir,227,421.1422,65.8182,180.4795,3009.3359,829.1289,0.0866,22,2.2727,3970.55,2.1749,2.1212,8608.5266,5358.619,0.6225,102.4734,1461, ,,,
abalone,477.1923,259.5252,154.5,114.0523,888.0128,293.1145,0.042,26,2.6923,2965.3592,2.1034,4.2574,15604.6465,13398.5588,0.8586,299.9906,4177, ,,,
puma32h,929.125,619.2813,170.1042,245.2937,12.8169,3.7285,0.0399,48,3.1875,11774.0974,0.0118,0.0087,-24571.4795,-34029.3182,0.7221,6027.0845,8192, ,,,
ailerons,839.7449,895.9166,140.0918,202.5393,0.2475,0.0392,0.0298,98,4,19848.8501,0.0002,0.0004,-126675.9783,-142376.5827,0.8897,17399.413,13750, ,,,
elevators,407.6582,458.7805,102.019,137.6529,1.5616,0.3911,0.0094,158,4.2152,21749.1542,0.004,0.0094,-85831.7573,-100419.9172,0.8547,17848.0452,16599, ,,,
bikesharing,630.375,877.7889,123.3824,217.2618,83007.6217,15530.5992,0.0211,136,3.9632,29547.6065,62.8363,4.3194,165969.2083,142120.8397,0.8563,8824.4868,17379, ,,,
california,526.1609,366.8108,115.9253,135.446,35837929.95,8902411.059,0.0082,174,4.3103,23567.6077,48798.351,387.5404,389338.2958,373259.6866,0.9587,13653.5675,20640, ,,,
house,390.7807,616.1104,82.3457,170.876,11097424.72,2419613.225,0.0066,269,4.7472,45965.6544,38487.2177,149647.2236,404108.4538,371937.6921,0.9204,49995.0079,22784, ,,,
edm,51.4,37.8768,29.6,57.7773,25.5039,18.0623,0.1428,5,2,288.8867,0.3021,0.2421,334.7067,185.1728,0.5532,60.075,154,,,, 
enb,97.1707,254.5246,18.5366,163.0695,1094.7237,328.7288,0.0679,41,2.0732,6685.8511,0.7229,0.21,8200.0438,3660.4038,0.4464,156.5085,768,,,, 
jura,53.7333,137.0258,21.8,84.3008,683.0826,337.264,0.0749,15,2.6667,1264.5121,4.1855,1.1932,4389.9447,3886.029,0.8852,106.71,359,,,, 
oes10,66.9565,1929.9537,17.3913,712.1943,529415.838,177412.196,0.0719,23,3.3478,16380.4681,653.8287,1464.2468,77070.5587,65121.4418,0.845,11608.2761,403,,,, 
oes97,50,1653.0609,19.375,717.2172,707797.7116,267245.3003,0.0717,16,3.625,11475.4753,681.6089,12120.6351,64868.9014,56613.8377,0.8727,7998.0868,334,,,, 
osales,71.6222,1002.4481,14.0667,375.4873,2093503.947,657231.8727,0.0455,45,3.1333,16896.9275,4380.2749,262644.722,108020.3987,96398.5149,0.8924,3319.299,639,,,, 
sf1,85.3333,157.6427,75.6667,133.0859,22.066,19.2528,0.0469,3,2.6667,399.2578,0.3274,0.6633,313.6202,90.4695,0.2885,2.7379,323,,,, 
sf2,16.5,486.6265,16.5,486.6265,22.8058,22.8058,0,2,4,973.2531,0.9953,1.8122,666.8664,-61.3467,-0.092,3.0122,1066,,,, 
slump,14,55.1803,9.75,66.2811,280.5577,330.66,0.1283,4,2.75,265.1242,2.8372,1.0498,1684.5704,1602.6326,0.9514,18.201,103,,,, 
wq,52.4839,281.1628,16.6452,190.5399,272.4715,129.4212,0.0202,62,4.1129,11813.4737,0.9458,0.2083,34764.1085,28487.0947,0.8194,2308.5694,1060,,,, 
