datasetname,avg_supp,wkl_supp,avg_usg,wkl_usg,wacc_supp,wacc_usg,jacc_avg,n_rules,wkl_sum,wkl_sum_norm,wacc_supp_sum,wacc_usg_sum,avg_items,runtime
birds,143.8571,92.6226,32.0,65.2001,0.1366,0.0617,0.0879,20,1304.0011,2.0217,2.8685,1.2332,3.8095,5570.9796, 
CAL500,62.0278,230.2343,13.8889,235.1279,0.7559,0.4296,0.0493,36,8464.6038,16.8618,27.2124,15.4652,4.25,1920.8387, 
Corel5k,199.8681,342.6051,34.7014,187.2528,0.059,0.0252,0.009,144,26964.4006,5.3929,8.4937,3.6326,3.5903,13623.7643, 
emotions,140.1071,71.2211,25.6087,49.4532,0.1629,0.0638,0.0967,23,1137.4238,1.9181,4.5613,1.4681,3.7143,1468.8128, 
flags,36.3333,30.7758,11.1765,27.3505,0.167,0.0994,0.0851,17,464.9582,2.3967,3.0062,1.6903,3.6667,12.1854, 
genbase,160.0833,294.9518,55.0833,303.944,0.1863,0.182,0.0441,12,3647.3282,5.5096,2.236,2.1844,1.0833,17360.7262, 
mediamill,4041.9512,3321.2741,636.2899,967.7938,0.1256,0.0287,0.0347,69,66777.7735,1.5209,10.2983,1.9789,4.7317,27916.7554, 
scene,385.8056,255.0831,75.1562,128.9055,0.1039,0.0363,0.0725,32,4124.9751,1.7137,3.7403,1.1612,4.1667,82602.3769, 
yeast,221.7656,101.9512,38.9677,77.7104,0.0682,0.0306,0.0327,62,4818.0458,1.9934,4.3651,1.8997,4.6406,10448.1749, 
